,Census Tract,2011_Median_gross_rent,2016_Median_gross_rent,Increase
1,08031000102,876,1029,153
2,08031000201,975,1135,160
3,08031000202,782,680,-102
4,08031000301,699,1043,344
5,08031000302,925,1043,118
6,08031000303,868,1210,342
7,08031000401,834,919,85
8,08031000402,902,1309,407
9,08031000501,1020,1455,435
10,08031000502,600,653,53
11,08031000600,700,854,154
12,08031000701,696,737,41
13,08031000702,730,808,78
14,08031000800,196,261,65
15,08031000902,1114,1085,-29
16,08031000903,862,1047,185
17,08031000904,710,806,96
18,08031000905,926,1116,190
19,08031001000,514,902,388
20,08031001101,766,796,30
21,08031001102,1059,1596,537
22,08031001301,1012,957,-55
23,08031001302,1132,1128,-4
24,08031001401,739,657,-82
25,08031001402,706,983,277
26,08031001403,920,1185,265
27,08031001500,763,884,121
28,08031001600,1165,1538,373
29,08031001701,1458,1648,190
30,08031001702,894,1312,418
31,08031001800,890,1215,325
32,08031001901,300,380,80
33,08031001902,1660,1250,-410
34,08031002000,958,1568,610
35,08031002100,703,889,186
36,08031002300,729,986,257
37,08031002402,538,870,332
38,08031002403,474,946,472
39,08031002601,716,914,198
40,08031002602,1040,1244,204
41,08031002701,680,853,173
42,08031002702,776,981,205
43,08031002703,687,856,169
44,08031002801,886,1143,257
45,08031002802,717,854,137
46,08031002803,792,1081,289
47,08031002901,819,1084,265
48,08031002902,991,1522,531
49,08031003001,882,1144,262
50,08031003002,936,1214,278
51,08031003003,997,1273,276
52,08031003004,943,967,24
53,08031003101,739,849,110
54,08031003102,535,786,251
55,08031003201,754,1032,278
56,08031003202,751,978,227
57,08031003203,1082,1709,627
58,08031003300,1355,1648,293
59,08031003401,1275,1235,-40
60,08031003402,1502,1801,299
61,08031003500,871,953,82
62,08031003601,725,853,128
63,08031003602,787,905,118
64,08031003603,902,1058,156
65,08031003701,743,929,186
66,08031003702,739,852,113
67,08031003703,730,942,212
68,08031003800,1096,1413,317
69,08031003901,1740,1740,0
70,08031003902,1564,1649,85
71,08031004002,1223,2086,863
72,08031004003,1211,1538,327
73,08031004004,1375,1392,17
74,08031004005,838,876,38
75,08031004006,886,1208,322
76,08031004101,843,947,104
77,08031004102,936,1114,178
79,08031004104,1113,1197,84
80,08031004106,1762,1721,-41
81,08031004107,1177,1481,304
82,08031004201,851,1052,201
83,08031004202,1387,1042,-345
84,08031004301,677,869,192
85,08031004302,1225,1017,-208
86,08031004303,2,2114,2112
87,08031004304,1117,1329,212
88,08031004306,1131,1493,362
89,08031004403,860,1214,354
90,08031004404,755,809,54
91,08031004405,1041,1325,284
92,08031004503,793,852,59
93,08031004504,792,997,205
94,08031004505,975,983,8
95,08031004506,719,784,65
96,08031004601,945,1156,211
97,08031004602,786,910,124
98,08031004603,1098,1019,-79
99,08031004700,779,870,91
100,08031004801,1460,1219,-241
101,08031005001,1097,1268,171
102,08031005002,810,935,125
103,08031005102,718,1085,367
104,08031005104,695,921,226
105,08031005200,1284,1310,26
106,08031005300,850,1015,165
107,08031005502,1113,1213,100
108,08031005503,771,960,189
109,08031006701,1152,1422,270
110,08031006804,1182,1572,390
111,08031006809,874,1115,241
112,08031006810,877,1138,261
113,08031006811,697,984,287
114,08031006812,754,1321,567
115,08031006813,803,995,192
116,08031006814,791,994,203
117,08031006901,683,856,173
118,08031007006,742,984,242
119,08031007013,1090,1300,210
120,08031007037,710,790,80
121,08031007088,1128,1351,223
122,08031007089,706,840,134
123,08031008304,1405,1385,-20
124,08031008305,1082,1446,364
125,08031008306,721,893,172
126,08031008312,695,1210,515
127,08031008386,1263,1227,-36
128,08031008387,1385,1238,-147
129,08031008388,992,1249,257
130,08031008389,1423,1827,404
131,08031008390,1153,1304,151
132,08031008391,1629,1570,-59
133,08031011902,827,1024,197
134,08031011903,1015,1144,129
135,08031012001,661,788,127
136,08031012010,921,1114,193
137,08031012014,964,1174,210
138,08031015300,758,913,155
139,08031015400,1048,1119,71
140,08031015500,747,911,164
141,08031015600,644,733,89
142,08031015700,836,1052,216
143,08031980000,1050,1219,169
